,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
34,2019-05-31,16.888273058085492,-44.34293083564718,35.553800245858824,16.888273058085492,16.888273058085492,-24.019383372019533,-24.019383372019533,-24.019383372019533,-1.1376209723638961,-1.1376209723638961,-1.1376209723638961,-22.88176239965564,-22.88176239965564,-22.88176239965564,0.0,0.0,0.0,-7.131110313934041
35,2019-06-03,16.91573015902596,-42.88791618376042,40.02853274959089,16.91573015902596,16.91573015902596,-19.388580970379163,-19.388580970379163,-19.388580970379163,0.6688321581607409,0.6688321581607409,0.6688321581607409,-20.057413128539906,-20.057413128539906,-20.057413128539906,0.0,0.0,0.0,-2.4728508113532044
36,2019-06-04,16.924882526006115,-42.499420722708436,38.930329534866544,16.924882526006115,16.924882526006115,-19.474849833580503,-19.474849833580503,-19.474849833580503,-0.29383874749020183,-0.29383874749020183,-0.29383874749020183,-19.1810110860903,-19.1810110860903,-19.1810110860903,0.0,0.0,0.0,-2.549967307574388
37,2019-06-05,16.93403489298627,-44.473081938122974,38.414909764190725,16.93403489298627,16.93403489298627,-18.356047197174867,-18.356047197174867,-18.356047197174867,-0.0001340607316119653,-0.0001340607316119653,-0.0001340607316119653,-18.355913136443252,-18.355913136443252,-18.355913136443252,0.0,0.0,0.0,-1.4220123041885984
38,2019-06-06,16.94318725996643,-38.913197516979615,38.98402604393561,16.94318725996643,16.94318725996643,-18.22637623934829,-18.22637623934829,-18.22637623934829,-0.6361153161216967,-0.6361153161216967,-0.6361153161216967,-17.590260923226595,-17.590260923226595,-17.590260923226595,0.0,0.0,0.0,-1.2831889793818618
39,2019-06-07,16.952339626946582,-39.79065730336306,39.76795324020483,16.952339626946582,16.952339626946582,-18.02752110394104,-18.02752110394104,-18.02752110394104,-1.137620972363858,-1.137620972363858,-1.137620972363858,-16.889900131577186,-16.889900131577186,-16.889900131577186,0.0,0.0,0.0,-1.0751814769944588
40,2019-06-10,16.97979672788705,-35.33499883806461,44.15660688614877,16.97979672788705,16.97979672788705,-14.534835268393834,-14.534835268393834,-14.534835268393834,0.6688321581615653,0.6688321581615653,0.6688321581615653,-15.2036674265554,-15.2036674265554,-15.2036674265554,0.0,0.0,0.0,2.4449614594932143
41,2019-06-11,16.98894909614176,-36.483498110169094,44.583205717663965,16.98894909614176,16.98894909614176,-15.069928057952762,-15.069928057952762,-15.069928057952762,-0.2938387474898005,-0.2938387474898005,-0.2938387474898005,-14.776089310462961,-14.776089310462961,-14.776089310462961,0.0,0.0,0.0,1.9190210381889976
42,2019-06-12,16.998101464396473,-38.83270824597516,39.85291614501478,16.998101464396473,16.998101464396473,-14.40870007101968,-14.40870007101968,-14.40870007101968,-0.0001340607297957332,-0.0001340607297957332,-0.0001340607297957332,-14.408566010289881,-14.408566010289881,-14.408566010289881,0.0,0.0,0.0,2.589401393376793
43,2019-06-13,17.007253832651184,-37.40597777001311,42.59111683449208,17.007253832651184,17.007253832651184,-14.730134016228666,-14.730134016228666,-14.730134016228666,-0.6361153161216826,-0.6361153161216826,-0.6361153161216826,-14.094018700106984,-14.094018700106984,-14.094018700106984,0.0,0.0,0.0,2.277119816422518
44,2019-06-14,17.016406200905895,-37.05091646656903,45.76499933045095,17.016406200905895,17.016406200905895,-14.961516890016023,-14.961516890016023,-14.961516890016023,-1.1376209723638202,-1.1376209723638202,-1.1376209723638202,-13.823895917652202,-13.823895917652202,-13.823895917652202,0.0,0.0,0.0,2.0548893108898714
